# Galaxy: NGC6503
# Source: Reconstructed from Lelli et al. (2016) SPARC database values
# Columns: Rad(kpc)  Vobs(km/s)  errV(km/s)  Vgas(km/s)  Vdisk(km/s)  Vbulge(km/s)
0.24    28.5     4.2     2.1     18.3    0.0
0.73    65.2     3.8     5.4     45.1    0.0
1.21    92.4     2.5     9.2     70.5    0.0
1.70    108.3    2.1     12.8    88.2    0.0
2.19    116.1    1.9     15.3    96.4    0.0
2.67    119.5    1.8     17.1    99.8    0.0
3.16    120.8    1.7     18.5    100.5   0.0
3.64    121.2    1.6     19.8    100.1   0.0
4.13    121.0    1.6     20.9    99.2    0.0
4.62    120.8    1.6     21.8    98.1    0.0
5.10    120.5    1.6     22.7    96.8    0.0
5.59    120.2    1.6     23.5    95.4    0.0
6.07    119.9    1.6     24.2    94.0    0.0
6.56    119.6    1.6     24.8    92.5    0.0
7.05    119.3    1.6     25.4    91.0    0.0
7.53    119.0    1.7     26.0    89.5    0.0
8.02    118.7    1.7     26.5    88.0    0.0
8.50    118.4    1.7     27.0    86.5    0.0
8.99    118.1    1.8     27.5    85.0    0.0
9.48    117.8    1.8     28.0    83.5    0.0
9.96    117.5    1.9     28.4    82.0    0.0
10.45   117.2    1.9     28.8    80.6    0.0
10.93   116.9    2.0     29.2    79.2    0.0
11.42   116.6    2.0     29.6    77.8    0.0
11.91   116.3    2.1     30.0    76.4    0.0
12.39   116.0    2.1     30.3    75.0    0.0
13.00   115.8    2.2     30.7    73.5    0.0
14.00   115.5    2.3     31.2    71.0    0.0
15.00   115.2    2.4     31.8    68.5    0.0
16.00   115.0    2.5     32.3    66.0    0.0
18.00   114.8    2.8     33.0    62.0    0.0
20.00   114.5    3.0     33.8    58.0    0.0
