# l TT EE TE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.022527208215827613e+03 3.111415417540885908e-02 2.637949446640448947e+00
3.000000000000000000e+00 9.683928139047679906e+02 4.001144448787473384e-02 2.959424088805266084e+00
4.000000000000000000e+00 9.164035891656847070e+02 3.480133630098196373e-02 2.777148504085601655e+00
5.000000000000000000e+00 8.776474364779511461e+02 2.331949475846742045e-02 2.366583502885927448e+00
6.000000000000000000e+00 8.512308900400652192e+02 1.308703001404532690e-02 1.907492532620893355e+00
7.000000000000000000e+00 8.344805638693452465e+02 7.071169876957584220e-03 1.499487833575560147e+00
8.000000000000000000e+00 8.244562944685212642e+02 4.539984477298039146e-03 1.186286917079944381e+00
9.000000000000000000e+00 8.197916361154094602e+02 3.631073028514384717e-03 9.733310588456022261e-01
1.000000000000000000e+01 8.190369756752121475e+02 3.098779327513831883e-03 8.526378152400090338e-01
1.100000000000000000e+01 8.208043735049457155e+02 2.615603339400209091e-03 8.068428033723156201e-01
1.200000000000000000e+01 8.258217139207248465e+02 2.292839188929374824e-03 8.169504681237075294e-01
1.300000000000000000e+01 8.321831642496222230e+02 2.206651670365640614e-03 8.592898557350906463e-01
1.400000000000000000e+01 8.397198737035298564e+02 2.297156806105773129e-03 9.125935406952163653e-01
1.500000000000000000e+01 8.473811972024528814e+02 2.481811895188373515e-03 9.691512661562167175e-01
1.600000000000000000e+01 8.569502444034153541e+02 2.739297072898006120e-03 1.030478883736753781e+00
1.700000000000000000e+01 8.682744678525712061e+02 3.112411945925224691e-03 1.094026412402211212e+00
1.800000000000000000e+01 8.802068172924390410e+02 3.645387412053665427e-03 1.158517923916698944e+00
1.900000000000000000e+01 8.935041581372315704e+02 4.342248166230476374e-03 1.227166693741801096e+00
2.000000000000000000e+01 9.065540356689995178e+02 5.180723886474525655e-03 1.294975058601046003e+00
2.100000000000000000e+01 9.200532490288020426e+02 6.154004827725927107e-03 1.366529849919904560e+00
2.200000000000000000e+01 9.340301846242679176e+02 7.272640581635935950e-03 1.442182676276555497e+00
2.300000000000000000e+01 9.480987593910640499e+02 8.528872608783931095e-03 1.519285330004029655e+00
2.400000000000000000e+01 9.625788009270551129e+02 9.919927638495076513e-03 1.594445161254073318e+00
2.500000000000000000e+01 9.776037788087051013e+02 1.145037272897612805e-02 1.659834533546171720e+00
2.600000000000000000e+01 9.926831316141184516e+02 1.313241473705868689e-02 1.719058495579958823e+00
2.700000000000000000e+01 1.008225578044051076e+03 1.497684757795588600e-02 1.772931082013585069e+00
2.800000000000000000e+01 1.024060689059847846e+03 1.697754379003189179e-02 1.816700652447846842e+00
2.900000000000000000e+01 1.040107778729335678e+03 1.916082682859031674e-02 1.855381826281829571e+00
3.000000000000000000e+01 1.056560186387672957e+03 2.155537983235693636e-02 1.882305737059327244e+00
3.100000000000000000e+01 1.072812518176734557e+03 2.415773770026146197e-02 1.908289635351201552e+00
3.200000000000000000e+01 1.089671228987527456e+03 2.698408046614142811e-02 1.928304578991255624e+00
3.300000000000000000e+01 1.106611416874907945e+03 2.999388284290043644e-02 1.940836741429357026e+00
3.400000000000000000e+01 1.123614382793035020e+03 3.321221953765121637e-02 1.946936530746965044e+00
3.500000000000000000e+01 1.141254247363624017e+03 3.664602445425947652e-02 1.937422336133247214e+00
3.600000000000000000e+01 1.158623556127661459e+03 4.032415419522113187e-02 1.922526483256076890e+00
3.700000000000000000e+01 1.176251495236552046e+03 4.427202700354923581e-02 1.896438947411847709e+00
3.800000000000000000e+01 1.194249593524103375e+03 4.847770894851170104e-02 1.861179497855638854e+00
3.900000000000000000e+01 1.212519164094692314e+03 5.293067536068637308e-02 1.816522835869671892e+00
4.000000000000000000e+01 1.230977679191480092e+03 5.762337193901926474e-02 1.760661025683617487e+00
4.100000000000000000e+01 1.249537469749917364e+03 6.255245543044109235e-02 1.692361567578897885e+00
4.200000000000000000e+01 1.268201723468507225e+03 6.773090857933571074e-02 1.612626737854998105e+00
4.300000000000000000e+01 1.286983343272949242e+03 7.317562803970187324e-02 1.522618262114039389e+00
4.400000000000000000e+01 1.305932374636353870e+03 7.890135564352823705e-02 1.421893381244034194e+00
4.500000000000000000e+01 1.325113720419613855e+03 8.492000985362341270e-02 1.309704812807622298e+00
4.600000000000000000e+01 1.344494087760633647e+03 9.123882928784268764e-02 1.185715879691948471e+00
4.700000000000000000e+01 1.364055958334799925e+03 9.785807175994165608e-02 1.049375121359977348e+00
4.800000000000000000e+01 1.383772758040871850e+03 1.047693782333028595e-01 9.000588393691476563e-01
4.900000000000000000e+01 1.403632769654490858e+03 1.119636462842086844e-01 7.372176568930957075e-01
5.000000000000000000e+01 1.423691131139289382e+03 1.194429154734983206e-01 5.604411448290911313e-01
5.100000000000000000e+01 1.444006644128508242e+03 1.272106395189761818e-01 3.696322111078214623e-01
5.200000000000000000e+01 1.464526483157585972e+03 1.352714733215305276e-01 1.657449491450142254e-01
5.300000000000000000e+01 1.485179201091578307e+03 1.436270289787978938e-01 -5.021365020738106921e-02
5.400000000000000000e+01 1.505945348707183030e+03 1.522796609881940655e-01 -2.780957247773482854e-01
5.500000000000000000e+01 1.526820332800755295e+03 1.612332091150223412e-01 -5.181230138565291465e-01
5.600000000000000000e+01 1.547915776990720587e+03 1.704847194901234764e-01 -7.711613466868387778e-01
